"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-22",,"83","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-23",,"86","66"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-24",,"89","64"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-25",,"88","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-26",,"88","63"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-27",,"89","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-28",,"90","70"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-29",,"95","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-30",,"94","68"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-08-31",,"87","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-01",,"82","55"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-02",,"87","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-03",,"87","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-04",,"76","59"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-05",,"79","51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-06",,"82","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-07",,"87","54"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-08",,"89","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-09",,"88","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-10",,"79","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-11",,"77","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-12",,"75","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-13",,"84","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-14",,"84","65"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-15",,"89","69"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-16",,"90","71"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-17",,"81","62"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-18",,"83","61"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-19",,"62","49"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-20",,"62","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-21",,"63","35"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-22",,"72","39"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-23",,"69","48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-24",,"66","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-25",,"63","51"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-26",,"61","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-27",,"60","36"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-28",,"64","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-29",,"71","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-09-30",,"78","42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-01",,"79","57"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-02",,"79","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-03",,"78","56"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-04",,"82","58"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-05",,"75","48"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-06",,"52","39"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-07",,"54","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-08",,"63","34"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-09",,"72","43"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-10-10",,"60","50"
